phi,x,r,re
27.461004011493113,0.22000000000000003,0.033,52809.19904566302
22.751483462541596,0.3066666666666667,0.046,87405.66895309434
19.576109684698928,0.3933333333333333,0.059,117611.64389559996
15.826916137877651,0.4800000000000001,0.07200000000000001,135144.5280616309
13.958751696342018,0.5666666666666667,0.08499999999999999,149775.32474159874
12.578925076057066,0.6533333333333334,0.098,158239.12359361057
11.11005563957487,0.74,0.111,153370.5773466565
9.474447816520886,0.8266666666666667,0.124,139070.48373270885
8.922561008362376,0.9133333333333334,0.137,117287.84112837161
8.357353098307588,1.0,0.15,81520.35049582072
