r,x,v,phi
0.033,0.22000000000000003,29.84735607755501,21.457105280712938
0.046,0.3066666666666667,40.14539625485129,18.205120105539333
0.059,0.3933333333333333,50.69183801157179,15.947476189587114
0.07200000000000001,0.4800000000000001,61.35872771185515,12.817079728213493
0.08499999999999999,0.5666666666666667,72.09262040415416,11.391094608005412
0.098,0.6533333333333334,82.86748332096907,10.341852223136982
0.111,0.74,93.66917898678547,9.129009443805717
0.124,0.8266666666666667,104.48938614548155,7.697316824576743
0.137,0.9133333333333334,115.32289437468344,7.311562155173252
0.15,1.0,126.16627735549214,6.884252974126701
