r,x,v,phi
0.033,0.22000000000000003,29.074080635857772,25.567641242694947
0.046,0.3066666666666667,39.57385930711115,21.333743407027164
0.059,0.3933333333333333,50.24042138548834,18.450255618223313
0.07200000000000001,0.4800000000000001,60.98631786243191,14.895544888209468
0.08499999999999999,0.5666666666666667,71.77592504968128,13.165457685397296
0.098,0.6533333333333334,82.59211398160897,11.888458760558569
0.111,0.74,93.4256527515781,10.499024263722934
0.124,0.8266666666666667,104.2711336711151,8.926573245677673
0.137,0.9133333333333334,115.12518172387132,8.42607697681495
0.15,1.0,125.98558267414161,7.9034866914196
