2.180,0.840,28.161,-0.063,0.110,-1.121
0.87,-1.532,40.053,-0.033,0.115,-0.48
3.906,-0.451,22.318,-0.012,0.119,-0.229
1.963,-0.631,37.51,-0.002,0.102,-0.673
2.946,1.273,33.714,-0.023,0.073,-0.285
0.33,2.821,24.079,-0.047,0.056,-0.189
-1.507,1.202,29.028,-0.056,0.028,-1.211
-0.204,-0.675,45.9,-0.07,0.011,-0.054
1.424,0.716,23.402,-0.066,0.006,-0.005
-2.294,-0.283,26.638,-0.039,0.004,-1.087
0.297,-1.449,34.075,-0.013,0.009,-0.549
1.154,-2.362,36.858,0.016,0.037,0.338
2.002,-2.461,30.088,0.05,0.049,-0.976
2.811,-0.899,31.609,0.069,0.054,-0.47
2.295,-1.515,23.745,0.073,0.044,-0.024
0.283,-1.262,35.55,0.08,0.019,-0.662
3.544,0.323,36.987,0.062,-0.027,-0.501
-1.031,1.905,29.098,0.047,-0.045,-0.146
-1.053,-0.829,23.715,0.023,-0.076,-1.277
0.403,0.891,37.829,-0.003,-0.086,-0.205
-0.496,-0.317,31.767,-0.03,-0.079,0.132
-2.956,-0.848,29.272,-0.036,-0.046,-1.015
1.933,-0.908,34.943,-0.042,-0.01,-0.565
-0.468,-2.624,35.897,-0.028,0.058,0.374
3.417,-3.65,26.271,-0.008,0.088,-0.875
3.785,1.244,33.024,0.028,0.104,-0.616
0.908,-2.049,31.045,0.034,0.111,-0.171
1.615,-1.524,36.824,0.035,0.109,-0.672
6.525,2.416,33.598,0.003,0.084,-0.626
-1.42,2.705,27.107,-0.034,0.088,0.034
0.11,-0.978,23.833,-0.078,0.058,-0.921
1.605,2.926,36.355,-0.104,0.048,-0.488
-0.963,-0.803,39.079,-0.135,0.046,0.136
-0.623,1.033,27.586,-0.12,0.054,-0.815
2.486,0.882,26.483,-0.093,0.063,-0.953
-0.812,-2.611,36.024,-0.052,0.097,0.364
3.902,-3.522,30.386,-0.02,0.103,-0.555
3.22,2.875,31.385,0.022,0.121,-0.838
1.036,-3.812,37.417,0.015,0.12,0.041
3.078,0.553,27.408,0.032,0.111,-0.469
4.151,1.748,30.468,0.029,0.067,-0.708
-0.993,0.24,33.037,0.025,0.027,0.017
-0.376,-0.175,26.048,0.015,-0.023,-0.966
-1.082,3.005,36.454,0.012,-0.047,-0.715
-0.654,-3.385,40.169,-0.022,-0.061,0.23
0.175,1.995,16.89,-0.011,-0.052,-0.689
-1.518,-0.157,31.073,0.001,-0.041,-0.842
-0.247,-5.43,39.92,0.012,-0.016,0.311
2.106,-2.654,30.172,0.034,0.009,-0.57
1.356,1.64,31.952,0.07,0.023,-0.875
1.719,-4.617,33.513,0.072,0.017,-0.038
2.062,0.628,20.992,0.093,0.014,-0.513
1.566,-0.323,39.873,0.072,-0.017,-0.762
1.312,0.012,34.414,0.026,-0.036,-0.0
-1.927,2.232,24.859,-0.018,-0.044,-0.649
-1.809,1.629,31.605,-0.059,-0.046,-0.831
1.002,-2.304,38.572,-0.107,-0.043,0.243
-1.085,2.553,21.764,-0.101,-0.017,-0.518
-1.561,-1.127,35.778,-0.092,-0.004,-1.142
1.184,-2.299,38.121,-0.07,0.034,0.115
1.517,-1.02,28.403,-0.045,0.079,-0.178
3.274,0.543,26.231,-0.018,0.103,-1.065
3.391,-1.912,35.66,-0.022,0.109,-0.321
0.539,1.174,28.666,-0.017,0.12,-0.299
3.223,-1.442,41.062,-0.04,0.08,-0.659
2.828,3.271,28.19,-0.06,0.051,-0.153
-2.282,2.435,20.816,-0.081,0.019,-0.608
-0.536,1.113,30.594,-0.088,-0.023,-0.876
0.219,-0.895,46.761,-0.1,-0.051,0.046
-2.196,1.556,23.221,-0.094,-0.041,-0.455
-0.32,-0.614,29.811,-0.088,-0.04,-0.827
0.145,-0.589,32.564,-0.063,-0.008,0.039
-0.159,-3.158,29.438,-0.04,0.026,-0.234
3.101,-0.723,31.06,0.007,0.031,-1.015
1.84,-1.561,41.281,0.04,0.019,-0.448
-0.192,-0.569,22.446,0.065,0.015,-0.415
2.856,-0.03,36.591,0.071,-0.028,-0.487
1.448,1.533,28.046,0.052,-0.052,-0.304
-2.484,-0.117,26.927,0.01,-0.071,-0.485
1.19,1.467,34.917,-0.025,-0.108,-0.778
-2.837,-0.488,44.432,-0.06,-0.114,-0.108
-2.628,-0.623,16.381,-0.077,-0.104,-0.418
-0.789,-0.696,31.282,-0.064,-0.097,-0.773
0.369,-1.694,35.564,-0.038,-0.072,-0.311
-0.847,-4.338,35.104,-0.021,-0.03,-0.097
4.543,1.059,31.541,0.015,-0.02,-0.755
-0.761,-1.699,34.207,0.022,0.014,-0.541
0.932,-1.437,17.53,0.012,0.041,-0.395
3.441,0.17,42.442,0.001,0.033,-0.466
2.27,2.288,34.245,-0.022,0.022,-0.499
-2.132,-0.359,29.544,-0.061,0.012,-0.326
1.9,3.233,26.942,-0.082,-0.024,-0.768
-2.354,0.185,37.157,-0.117,-0.028,-0.306
-1.122,0.342,21.242,-0.135,-0.025,-0.429
0.271,0.676,38.526,-0.133,-0.023,-0.896
0.482,-0.314,34.869,-0.122,0.003,-0.641
-0.678,-3.841,36.663,-0.117,0.039,0.228
4.741,1.8,22.185,-0.082,0.048,-0.725
-0.064,-0.932,31.187,-0.063,0.064,-0.52
1.365,-0.914,30.322,-0.044,0.06,-0.148
