r,x,v,phi
0.033,0.22000000000000003,28.45812124544345,29.879211215066434
0.046,0.3066666666666667,39.12355863746328,24.54416530408797
0.059,0.3933333333333333,49.88649557737479,20.99346500061644
0.07200000000000001,0.4800000000000001,60.6950860154064,16.99674618028414
0.08499999999999999,0.5666666666666667,71.52863703956244,14.953815648325795
0.098,0.6533333333333334,82.377301436446,13.444270556321744
0.111,0.74,93.23580370253936,11.875408359281465
0.124,0.8266666666666667,104.1010653982924,10.160415781576127
0.137,0.9133333333333334,114.97117015562813,9.544001797077247
0.15,1.0,125.84486299306369,8.92532386061562
