1,0.48,0.47351
0.99392,0.48,0.28207
0.98333,0.48,0.19087
0.97098,0.48,0.11343
0.95718,0.48,0.04584
0.94237,0.48,-0.01523
0.92696,0.48,-0.07184
0.91123,0.48,-0.124
0.89533,0.48,-0.17377
0.87933,0.48,-0.22146
0.86327,0.48,-0.26651
0.84718,0.48,-0.31106
0.83106,0.48,-0.35359
0.81492,0.48,-0.39585
0.79875,0.48,-0.43681
0.78258,0.48,-0.47745
0.76638,0.48,-0.51883
0.75017,0.48,-0.55869
0.73395,0.48,-0.599
0.71772,0.48,-0.63918
0.70148,0.48,-0.67954
0.68523,0.48,-0.72063
0.66898,0.48,-0.76162
0.65272,0.48,-0.80272
0.63645,0.48,-0.8449
0.62019,0.48,-0.88822
0.60392,0.48,-0.93105
0.58766,0.48,-0.97585
0.5714,0.48,-1.02059
0.55514,0.48,-1.06762
0.53889,0.48,-1.11501
0.52265,0.48,-1.16387
0.50642,0.48,-1.2151
0.49021,0.48,-1.26699
0.47402,0.48,-1.32201
0.45785,0.48,-1.37929
0.44172,0.48,-1.43964
0.42564,0.48,-1.50422
0.40965,0.48,-1.57402
0.39382,0.48,-1.66061
0.37817,0.48,-1.73691
0.36263,0.48,-1.80951
0.34716,0.48,-1.88036
0.33174,0.48,-1.95079
0.31639,0.48,-2.02204
0.30109,0.48,-2.09432
0.28586,0.48,-2.167
0.27069,0.48,-2.24216
0.25561,0.48,-2.31842
0.24061,0.48,-2.3982
0.22571,0.48,-2.47988
0.21092,0.48,-2.56576
0.19626,0.48,-2.65618
0.18175,0.48,-2.75122
0.16741,0.48,-2.85366
0.15327,0.48,-2.96364
0.13937,0.48,-3.08362
0.12576,0.48,-3.21535
0.11254,0.48,-3.36158
0.09978,0.48,-3.52563
0.08762,0.48,-3.71041
0.07622,0.48,-3.91797
0.06572,0.48,-4.15199
0.05625,0.48,-4.41183
0.04786,0.48,-4.69919
0.04055,0.48,-5.01189
0.03423,0.48,-5.34988
0.02879,0.48,-5.71259
0.02411,0.48,-6.10415
0.02008,0.48,-6.51968
0.0166,0.48,-6.966
0.01357,0.48,-7.44066
0.01095,0.48,-7.94706
0.00867,0.48,-8.48063
0.00671,0.48,-9.04063
0.00502,0.48,-9.61063
0.0036,0.48,-10.17582
0.00242,0.48,-10.69965
0.00148,0.48,-11.13353
0.00077,0.48,-11.41721
0.00029,0.48,-11.4733
0.00004,0.48,-11.25642
0.00001,0.48,-10.78284
0.0002,0.48,-10.0422
0.00065,0.48,-8.93286
0.00137,0.48,-7.54718
0.00239,0.48,-6.01777
0.00369,0.48,-4.55552
0.00527,0.48,-3.27024
0.00712,0.48,-2.20995
0.00925,0.48,-1.3731
0.01167,0.48,-0.72879
0.01438,0.48,-0.2373
0.01744,0.48,0.13166
0.02087,0.48,0.40792
0.02476,0.48,0.61196
0.02916,0.48,0.75985
0.03419,0.48,0.86409
0.03998,0.48,0.93386
0.04667,0.48,0.97615
0.05445,0.48,0.99643
0.06345,0.48,0.99929
0.07377,0.48,0.98892
0.08543,0.48,0.96929
0.09832,0.48,0.94394
0.11223,0.48,0.91597
0.12696,0.48,0.8875
0.14228,0.48,0.85988
0.15806,0.48,0.83372
0.17418,0.48,0.80956
0.19056,0.48,0.78705
0.20714,0.48,0.76646
0.22389,0.48,0.74757
0.24078,0.48,0.72997
0.25777,0.48,0.71377
0.27484,0.48,0.69881
0.29194,0.48,0.68446
0.30901,0.48,0.67132
0.32603,0.48,0.6588
0.34301,0.48,0.64657
0.35994,0.48,0.63481
0.37686,0.48,0.62303
0.39378,0.48,0.61058
0.41076,0.48,0.59641
0.42781,0.48,0.58482
0.44491,0.48,0.57402
0.46204,0.48,0.56423
0.47921,0.48,0.55463
0.49639,0.48,0.54537
0.51357,0.48,0.53706
0.53074,0.48,0.52869
0.5479,0.48,0.52054
0.56503,0.48,0.51267
0.58215,0.48,0.50545
0.59926,0.48,0.49771
0.61635,0.48,0.49094
0.63342,0.48,0.48339
0.65049,0.48,0.47666
0.66755,0.48,0.46965
0.68459,0.48,0.46255
0.70164,0.48,0.45614
0.71867,0.48,0.44884
0.7357,0.48,0.44228
0.75273,0.48,0.43519
0.76976,0.48,0.42876
0.78678,0.48,0.42147
0.80381,0.48,0.41522
0.82084,0.48,0.40791
0.83786,0.48,0.40136
0.85489,0.48,0.39419
0.8719,0.48,0.3874
0.88889,0.48,0.38144
0.90581,0.48,0.37455
0.92258,0.48,0.3689
0.93902,0.48,0.36424
0.95483,0.48,0.36072
0.96953,0.48,0.36194
0.98258,0.48,0.36762
0.99368,0.48,0.38726
1,0.48,0.47351
